objectid,parentid,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb,relation,coverage
ba0026,,ba0026,El problema de la esterilizacion,"Lewis, Jose Guillermo",1936-10-01,The problem with Hitler's sterilization.,Ensayos; Esterilizacion; (Control de la natalidad); Contracepcion; Esterilizacion de delincuentes y anormales,"New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0026.jpg,/objects/ba0026.jpg,,,,
ba0027,,ba0027,La masoneria hispana en New York,,1936-10-01,Hard to read. The hispanic masonry in New York.,"Ensayos; Latinoamericanos ; Nueva York; (Estado) ; Nueva York
 Masones ; Nueva York (Estado)","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0027.jpg,/objects/ba0027.jpg,,,,
ba0028,,ba0028_001,Negros y blancos,,1906-10-20,Speaks about the racist behavior that whites exhibit on blacks,"Editoriales;
Discriminacion racial; Estados Unidos; Siglo XX;
Relaciones raciales","El Paso, TX",31.7618778,-106.48502,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0028_001.jpg,/objects/ba0028_001.jpg,,,,
ba0028a,,ba0028_002,Negros y blancos,,1906-10-20,Speaks about the racist behavior that whites exhibit on blacks,"Editoriales;
Discriminacion racial ; Estados Unidos ; Siglo XX;
Relaciones raciales","El Paso, TX",31.7618778,-106.48502,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0028_002.jpg,/objects/ba0028_002.jpg,,,,
ba0029,,ba0029,"Habana, Enero 17 de 1867",,1867-02-01,"Speaks on; free labor, the crisis and politics.","Cartas;
Cuba; Relaciones raciales;
Movimientos abolicionistas; Cuba ;
Espana; Colonias; America","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0029.jpg,/objects/ba0029.jpg,,,,
ba0030,,ba0030_001,Las razas en America,,1866-11-20,Shares on the different races in America,"Ensayos;
Relaciones raciales;
Espana; Civilizacion;
America Latina; Relaciones raciales;
Patriotismo","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0030_001.jpg,/objects/ba0030_001.jpg,,,,
ba0030a,,ba0030_002,Las razas en America,,1866-11-20,Shares on the different races in America,"Ensayos;
Relaciones raciales;
Espana; Civilizacion;
America Latina; Relaciones raciales;
Patriotismo","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0030_002.jpg,/objects/ba0030_002.jpg,,,,
ba0031,,ba0031_001,La esclavitud de los negros en las Antillas espanolas Part1,,1866-03-01,Slavery of Blacks in Spain,"Editoriales;
Cuba Historia; 1810-1899;
Espana; Politica y gobierno;
Despotismo;
Esclavitud","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0031_001.jpg,/objetcs/ba0031_001.jpg,,,,
ba0031a,,ba0031_002,La esclavitud de los negros en las Antillas espa–olas Part2,,1866-03-01,Slavery of Blacks in Spain,"Editoriales;
Cuba; Historia; 1810-1899;
Espana; Politica y gobierno;
Despotismo;
Esclavitud","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0031_002.jpg,/objects/ba0031_002.jpg,,,,
ba0031b,,ba0031_003,La esclavitud de los negros en las Antillas espa–olas Part3,,1866-03-01,Slavery of Blacks in Spain,"Editoriales;
Cuba; Historia; 1810-1899;
Espana; Pol’tica y gobierno;
Despotismo;
Esclavitud","New York, NY",40.7127753,-74.005973,Buscando Africanidad Digital Collection,Image;Stillimage,image/jpeg,span,Arte Publico Press,,image,ba0031_003.jpg,/objects/ba0031_003.jpg,,,,
